"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"12/12/2013","CA","Los Angeles","Under investigation","Two people died in an apartment fire","Female","Unknown","Unknown","1 of 2","N","Multifamily","Not reported","https://www.nbclosangeles.com/news/local/bonnie-brae-echo-park-apartment-fire-235546361.html"
"12/12/2013","CA","Los Angeles","Under investigation","Two people died in an apartment fire","Female","Unknown","Children (14 and under)","2 of 2","N","Multifamily","Not reported","https://www.nbclosangeles.com/news/local/bonnie-brae-echo-park-apartment-fire-235546361.html"
"12/09/2013","CA","Altadena","Under investigation","An 81-year-old man died in an apartment fire ","Male","81","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.pasadenastarnews.com/general-news/20131218/altadena-man-found-dead-after-apartment-fire-identified"
"12/08/2013","CA","Stockton","Under investigation","An elderly woman died in a house fire.","Female","Unknown","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://fox40.com/2013/12/08/woman-pulled-stockton-home-during-fire/"
"12/08/2013","CA","Penn Valley","Under investigation","A 70-year-old woman died in a mobile home fire.","Female","70","Older adults (65 and older)","","N","1 & 2 family mobile","Not reported","https://www.theunion.com/news/9264207-113/fire-penn-valley-resident"
"12/07/2013","CA","Arcata","Smoking","A man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.times-standard.com/localnews/ci_24684637/arcata-man-dies-saturday-night-house-fire#"
"12/06/2013","CA","Red Bluff","Under investigation","A 59-year-old man died in a mobile home fire.","Male","59","Unknown","","N","1 & 2 family mobile","Not reported","https://www.redbluffdailynews.com/business/ci_24686522/red-bluff-man-was-found-dead-following-fire"
"12/05/2013","CA","Sacramento","Under investigation","A person died in a vacant house fire.","Unknown","Unknown","Unknown","","N","Not reported","Not reported","https://www.news10.net/news/article/264908/2/1-dead-3-injured-in-vacant-house-fire"
"12/05/2013","CA","Benicia","Under investigation","A person died from injuries sustained in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.timesheraldonline.com/news/ci_24668241/one-person-dies-fatal-fire-benicia"
"12/04/2013","CA","Los Angeles","Under investigation","A woman in her 60's died in an apartment fire","Female","Unknown","Older adults (65 and older)","","N","Multifamily","Not reported","https://losangeles.cbslocal.com/2013/12/04/elderly-woman-killed-in-baldwin-village-apartment-fire/"
"12/03/2013","CA","Merced","Under investigation","A 31-year-old man and his two children both age 5 died in an apartment fire.","Male","5","Children (14 and under)","1 of 3","N","Multifamily","Not reported","https://www.tribtown.com/view/story/a26ca203c3e049f1813666c820c5c015/US--California-Fire-Deaths"
"12/03/2013","CA","Merced","Under investigation","A 31-year-old man and his two children both age 5 died in an apartment fire.","Male","31","Unknown","2 of 3","N","Multifamily","Not reported","https://www.tribtown.com/view/story/a26ca203c3e049f1813666c820c5c015/US--California-Fire-Deaths"
"12/03/2013","CA","Merced","Under investigation","A 31-year-old man and his two children both age 5 died in an apartment fire.","Female","5","Children (14 and under)","3 of 3","N","Multifamily","Not reported","https://www.tribtown.com/view/story/a26ca203c3e049f1813666c820c5c015/US--California-Fire-Deaths"
"12/02/2013","CA","Mountain View","Under investigation","A person died in a mobile home fire.","Unknown","Unknown","Unknown","","N","1 & 2 family mobile","Not reported","https://www.paloaltoonline.com/news/2013/12/03/one-dead-in-mtn-view-mobile-home-fire"
"12/01/2013","CA","Poplar","Under investigation","A person died in a mobile home fire.","Unknown","Unknown","Unknown","","N","1 & 2 family mobile","Not reported","https://abclocal.go.com/kfsn/story?section=news/local&id=9344171"
"11/26/2013","CA","Merced","Under investigation","A man died in a vacant house fire","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.fresnobee.com/2013/11/26/3633910/one-dead-in-merced-house-fire.html"
"11/21/2013","CA","Terra Bella","Under investigation","A man and a woman died in a mobile home fire.","Male","Unknown","Unknown","1 of 2","N","1 & 2 family mobile","Not reported","https://www.kmjnow.com/11/22/13/Couple-Killed-in-Fire/landing.html?blockID=72622"
"11/21/2013","CA","Terra Bella","Under investigation","A man and a woman died in a mobile home fire.","Female","Unknown","Unknown","2 of 2","N","1 & 2 family mobile","Not reported","https://www.kmjnow.com/11/22/13/Couple-Killed-in-Fire/landing.html?blockID=72622"
"11/18/2013","CA","Valley Center","Smoking","A 61-year-old woman severely burned in her house on Monday has died.  Her death was classified as accidental.","Female","61","Unknown","","N","1 & 2 family
","Not reported","https://www.valleycenter.com/Articles-Top-Story-Headline-c-2013-11-19-85891.113122-Residential-fire-claims-the-life-of-longtime-Valley-Center-resident.html"
"11/12/2013","CA","La Sierra","Under investigation","A man died in a shed fire in the backyard of an abandoned home where he was living","Male","Unknown","Unknown","","N","Other","Not present/not working","https://blog.pe.com/breaking-news/2013/11/12/riverside-body-found-after-building-fire-is-extinguished/"
"11/08/2013","CA","Santa Cruz","Under investigation","A 56-year-old woman died in a camper trailer fire","Female","56","Unknown","","N","1 & 2 family mobile","Not reported","https://www.santacruzsentinel.com/santacruz/ci_24501961/woman-found-dead-santa-cruz-rv-fire-was"
"10/29/2013","CA","Vallejo","Under investigation","A 34-year-old-woman died on October 31, 2013 from injuries suffered in a garage fire, on Ocober 29, 2013.","Female","34","Unknown","","N","Other","Not reported","https://www.timesheraldonline.com/breaking_news/ci_24426141/woman-injured-vallejo-fire-dies"
"10/28/2013","CA","Panorama City","Under investigation","A woman died in an apartment fire.","Female","Unknown","Unknown","","N","Not reported","Not reported","https://abclocal.go.com/kabc/story?section=news/local/los_angeles&id=9303901"
"10/19/2013","CA","Burbank","Under investigation","A 69-year-old woman died in a house fire.","Female","69","Older adults (65 and older)","","N","Not reported","Not reported","https://abclocal.go.com/kabc/story?section=news/local/los_angeles&id=9294433"
"10/16/2013","CA","North Hollywood","Smoking","A 79-year-old man died in a house fire.","Male","79","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://northhollywood.patch.com/groups/police-and-fire/p/man-dies-in-house-fire_9b109cc5"
"10/13/2013","CA","Loomis","Under investigation","A 63-year-old man with disabilities died in a house fire","Male","63","Unknown","","Y","1 & 2 family
","Present and working","https://www.news10.net/news/local/article/260468/2/Deadly-Loomis-fire-claims-life-of-father-critically-injures-son"
"10/11/2013","CA","Pajaro Valley","Under investigation","A man in his 50s died in a house fire.","Male","50","Unknown","","N","1 & 2 family
","Not reported","https://www.register-pajaronian.com/v2_news_articles.php?heading=0&page=72&story_id=15295"
"10/07/2013","CA","Shasta County","Under investigation","A 50-year-old woman with a physical disability died in a house fire.","Female","50","Unknown","","Y","Not reported","Not reported","https://www.redding.com/news/2013/oct/07/woman-pulled-from-house-fire-dies-from-injuries/"
"10/06/2013","CA","Red Bluff","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.chicoer.com/breakingnews/ci_24259141/one-dead-from-home-fire-east-red-bluff"
"10/04/2013","CA","Los Angeles County","Under investigation","A woman in her 50s died in an apartment fire.","Female","50","Unknown","","N","Multifamily","Not reported","https://cerritos.patch.com/groups/police-and-fire/p/woman-dies-in-hawaiian-gardens-apartment-fire"
"10/03/2013","CA","Vallejo","Under investigation","A 65-year-old man died in a mobile home fire.","Male","65","Older adults (65 and older)","","N","1 & 2 family mobile","Not reported","https://www.timesheraldonline.com/news/ci_24279508/vallejo-mobile-home-fire-fatality-ided"
"09/27/2013","CA","San Francisco","Under investigation","A 30-year-old man, a 2-year-old girl died and the girl's 61-year-old grandfather died in a house fire","Male","30","Unknown","1 of 3","N","1 & 2 family
","Not reported","https://www.nbcbayarea.com/news/local/Father-Daughter-Die-in-San-Francisco-Fire-225492782.html"
"09/27/2013","CA","San Francisco","Under investigation","A 30-year-old man, a 2-year-old girl died and the girl's 61-year-old grandfather died in a house fire","Female","2","Children (14 and under)","2 of 3","N","1 & 2 family
","Not reported","https://www.nbcbayarea.com/news/local/Father-Daughter-Die-in-San-Francisco-Fire-225492782.html"
"09/27/2013","CA","San Francisco","Under investigation","A 30-year-old man, a 2-year-old girl died and the girl's 61-year-old grandfather died in a house fire","Male","61","Unknown","3 of 3","N","1 & 2 family
","Not reported","https://www.nbcbayarea.com/news/local/Father-Daughter-Die-in-San-Francisco-Fire-225492782.html"
"09/20/2013","CA","Sacramento","Under investigation","A man died in an apartment fire.","Male","Unknown","Unknown","","N","Multifamily","Not reported","https://blogs.sacbee.com/crime/archives/2013/09/a-man-pulled-from-a.html"
"09/15/2013","CA","Pittsburg","Under investigation","Three women, ages 51, 77 and 49 died in a house fire. There were smoke detectors present but none with batteries.","Female","49","Unknown","1 of 3","N","Not reported","Not reported","https://www.mercurynews.com/breaking-news/ci_24100407/three-dead-after-early-morning-house-fire-pittsburg"
"09/15/2013","CA","Pittsburg","Under investigation","Three women, ages 51, 77 and 49 died in a house fire. There were smoke detectors present but none with batteries.","Female","51","Unknown","2 of 3","N","Not reported","Not reported","https://www.mercurynews.com/breaking-news/ci_24100407/three-dead-after-early-morning-house-fire-pittsburg"
"09/15/2013","CA","Pittsburg","Under investigation","Three women, ages 51, 77 and 49 died in a house fire. There were smoke detectors present but none with batteries.","Female","77","Older adults (65 and older)","3 of 3","N","Not reported","Not reported","https://www.mercurynews.com/breaking-news/ci_24100407/three-dead-after-early-morning-house-fire-pittsburg"
